dataset,crop,field,source,source_url,accessed_date,notes
crops,Groundnut,soil_type,Government of Tamil Nadu/TNAU,https://tnagriculture.in/dashboard/CPG/05_Groundnut.pdf,2026-08-20,"Soil series used in fertilizer/nutrient recommendation tables: Red sandy loam (Irugur series), Red sandy clay loam (Somayanur series), Low level Laterite; normalized to red;sandy;loamy"
crops,Groundnut,water_requirement,Government of Tamil Nadu/TNAU,https://tnagriculture.in/dashboard/CPG/05_Groundnut.pdf,2026-08-20,"Climate requirement table: rainfall 500-700 mm; irrigation scheduled at 0.40-0.60 IW/CPE ratio; classified as moderate relative to other TN field crops"
crops,Groundnut,season,Government of Tamil Nadu/TNAU,https://tnagriculture.in/dashboard/CPG/05_Groundnut.pdf,2026-08-20,"Grown in 3 seasons across TN zones under local names; Anippattam (June-July, rainfed) is most widespread, selected as kharif for MVP; Margazhipattam (Dec-Jan, rabi/irrigated) also widely grown; dataset uses multi-season convention"
crops,Groundnut,duration_days,Government of Tamil Nadu/TNAU,https://tnagriculture.in/dashboard/CPG/05_Groundnut.pdf,2026-08-20,"CO 7 variety (suitable for both rainfed and irrigated, released 2013): duration 100-105 days; midpoint 103 used. Conflicting figure (85-90 days) found on a separate TNAU variety subpage appeared to be a table-parsing/layout error and was not used."
crops,Groundnut,estimated_cost,TNAU Agritech Portal (orig. Directorate of Economics & Statistics GoI),http://www.agritech.tnau.ac.in/agriculture/agri_costofcultivation_groundnut2012.html,2026-08-20,"Original cost: Rs.82256/ha (Total Cost, operational+fixed), data year 2020-2021, page updated Feb 2023; converted to 33288 INR/acre (82256/2.47105); historical figure, not current 2026 cost"
crops,Groundnut,expected_yield,TNAU Agritech Portal (orig. Directorate of Economics & Statistics GoI),http://www.agritech.tnau.ac.in/agriculture/agri_costofcultivation_groundnut2012.html,2026-08-20,"Original yield: 13.49 qtl/ha (1349 kg/ha) main product, state-wide farm-survey average, data year 2020-2021; converted to 546 kg/acre (1349/2.47105). Note: CO7 variety-trial yields much higher (Rainfed 2300 kg/ha=931 kg/acre; Irrigated 2806 kg/ha=1135 kg/acre) per https://tnagriculture.in/dashboard/CPG/05_Groundnut.pdf, but farm-survey figure chosen as more realistic for MVP"
crops,Black Gram,soil_type,Government of Tamil Nadu/TNAU,https://tnagriculture.in/dashboard/CPG/04_Blackgram.pdf,2026-08-20,"Fertilizer ready-reckoner references one soil series: Mixed black calcareous (Perianackenpalayam series); normalized to black. TNAU Systems of Cultivation page (Irrigated) additionally states well-drained soil is preferred, texture unspecified."
crops,Black Gram,water_requirement,Government of Tamil Nadu/TNAU,https://tnagriculture.in/dashboard/CPG/04_Blackgram.pdf,2026-08-20,"Climate requirement table: rainfall 400-600 mm; irrigation at 7-10 day intervals where used, critical at flowering/pod formation; classified as low relative to other TN field crops"
crops,Black Gram,season,Government of Tamil Nadu/TNAU,https://tnagriculture.in/dashboard/CPG/04_Blackgram.pdf,2026-08-20,"Three season types confirmed: Adipattam (June-Aug) and Purattasipattam (Sep-Nov) = kharif (rainfed, most districts); Margazhi-Thaipattam (Dec-Jan, Winter Irrigated) and Rice fallows (Jan) = rabi; Chithiraipattam (Summer Irrigated) = zaid"
crops,Black Gram,duration_days,Government of Tamil Nadu/TNAU,https://tnagriculture.in/dashboard/CPG/04_Blackgram.pdf,2026-08-20,"VBN 6 and VBN 8 varieties (most widely grown, nearly all districts, multiple seasons): duration 65-70 days each; representative value 68 used. Other varieties range 60-75 days depending on cultivar."
crops,Black Gram,estimated_cost,TNAU Agritech Portal (orig. Directorate of Economics & Statistics GoI),https://agritech.tnau.ac.in/agriculture/agri_costofcultivation_blackgram2012.html,2026-08-20,"Original cost: Rs.41556/ha (Total Cost, operational+fixed), data year 2020-2021, page updated Feb 2023; converted to 16817 INR/acre (41556/2.47105); historical figure, not current 2026 cost"
crops,Black Gram,expected_yield,TNAU Agritech Portal (orig. Directorate of Economics & Statistics GoI),https://agritech.tnau.ac.in/agriculture/agri_costofcultivation_blackgram2012.html,2026-08-20,"Original yield: 5.57 qtl/ha (557 kg/ha) main product, state-wide farm-survey average, data year 2020-2021; converted to 225 kg/acre (557/2.47105). Note: VBN6/VBN8 variety-trial yields higher (Rainfed 850-988 kg/ha=344-400 kg/acre; Irrigated 871-890 kg/ha=352-360 kg/acre) per https://tnagriculture.in/dashboard/CPG/04_Blackgram.pdf, but farm-survey figure chosen as more realistic for MVP"
crops,Green Gram,soil_type,Government of Tamil Nadu/TNAU,https://tnagriculture.in/dashboard/CPG/04_Greengram.pdf,2026-08-20,"Fertilizer ready-reckoner references one soil series: Red sandy loam (Irugur series); normalized to red;sandy;loamy"
crops,Green Gram,water_requirement,Government of Tamil Nadu/TNAU,https://tnagriculture.in/dashboard/CPG/04_Greengram.pdf,2026-08-20,"Climate requirement table: rainfall 600-800 mm, well-distributed rainfall needed, drought tolerant; irrigation at 7-10 day intervals where used, critical at flowering/pod formation; classified as moderate"
